,Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure,co,ai,4D qual Fact
18,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,S02minusS92,-450.5599999999995,2.12,1.19,82.92
19,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,S12minusS92,-651.6599999999999,2.89,1.98,82.92
20,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,S12minusS02,-201.10000000000042,1.19,1.12,82.92
21,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L6minusL1,-46.77000000000044,-11.56,0.32,82.92
22,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L12minusL1,-110.85000000000036,-6.87,0.74,82.92
23,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L14minusL1,-156.69000000000003,-13.5,0.6,82.92
24,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L16minusL1,-159.37000000000037,-10.06,1.58,82.92
25,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L18minusL1,-134.9300000000003,-19.22,2.2,82.92
26,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L12minusL6,-64.07999999999993,-1.46,0.75,82.92
27,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L14minusL6,-109.91999999999962,-7.87,0.47,82.92
28,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L16minusL6,-112.59999999999992,-7.87,1.31,82.92
29,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L18minusL6,-88.15999999999985,-8.94,2.05,82.92
30,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L14minusL12,-45.839999999999684,-2.26,0.38,82.92
31,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L16minusL12,-48.51999999999998,-3.57,1.3,82.92
32,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L18minusL12,-24.079999999999927,-6.35,1.74,82.92
33,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L16minusL14,-2.680000000000291,-0.63,1.02,82.92
34,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L18minusL14,21.759999999999767,-3.1,1.65,82.92
35,2,-3153.729999999981,8607.660000000149,3271.85,-2450.41,0.0,L18minusL16,24.44000000000005,-1.96,0.86,82.92
36,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,S02minusS92,-743.8499999999998,4.84,15.0,57.01
37,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,S12minusS92,-1211.79,6.63,19.69,57.01
38,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,S12minusS02,-467.94000000000005,1.69,5.01,57.01
39,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L6minusL1,-154.0600000000004,-14.16,0.59,57.01
40,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L12minusL1,-192.87000000000037,-31.39,0.78,57.01
41,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L14minusL1,-264.69000000000005,-55.25,0.21,57.01
42,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L16minusL1,-306.44000000000005,-48.77,0.76,57.01
43,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L18minusL1,-348.6100000000001,-72.63,0.7,57.01
44,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L12minusL6,-38.809999999999945,-15.53,0.14,57.01
45,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L14minusL6,-110.62999999999964,-44.27,0.0,57.01
46,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L16minusL6,-152.37999999999963,-44.27,0.18,57.01
47,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L18minusL6,-194.54999999999973,-58.07,0.15,57.01
48,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L14minusL12,-71.81999999999971,-14.43,0.0,57.01
49,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L16minusL12,-113.56999999999971,-18.57,0.14,57.01
50,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L18minusL12,-155.73999999999978,-28.11,0.06,57.01
51,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L16minusL14,-41.75,-4.56,0.53,57.01
52,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L18minusL14,-83.92000000000007,-13.18,0.52,57.01
53,3,-5045.709999999963,5528.240000000224,3249.78,-2450.0,14.16,L18minusL16,-42.17000000000007,-7.28,0.12,57.01
54,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,S02minusS92,-2334.38,1.77,4.75,99.35
55,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,S12minusS92,-3365.99,2.03,7.7,99.35
56,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,S12minusS02,-1031.61,0.42,3.42,99.35
57,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L6minusL1,-296.1999999999998,-11.58,0.64,99.35
58,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L12minusL1,-430.1100000000001,-0.87,1.91,99.35
59,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L14minusL1,-515.19,-4.99,1.69,99.35
60,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L16minusL1,-525.7999999999997,-1.44,1.77,99.35
61,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL1,-613.27,-11.12,1.82,99.35
62,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L12minusL6,-133.9100000000003,0.0,1.37,99.35
63,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L14minusL6,-218.99000000000026,-0.06,1.09,99.35
64,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L16minusL6,-229.59999999999994,-0.06,1.19,99.35
65,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL6,-317.07000000000016,-0.43,1.27,99.35
66,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L14minusL12,-85.07999999999993,-0.67,0.0,99.35
67,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L16minusL12,-95.6899999999996,-1.5,0.01,99.35
68,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL12,-183.15999999999985,-1.74,0.01,99.35
69,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L16minusL14,-10.609999999999673,-1.23,0.11,99.35
70,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL14,-98.07999999999993,-1.07,0.2,99.35
71,4,-2331.010000000009,9970.120000000112,5067.69,-2545.47,8.0,L18minusL16,-87.47000000000025,0.0,0.11,99.35
72,5,-7186.900000000023,3583.839999999851,5729.56,-2528.33,4.0,S02minusS92,-993.4700000000003,0.7,4.13,100.0
